Start Date, Start Time, Subject, Location, All Day Event, Private
2017/01/08,11:00,추미애 대표 신년기자회견,국회 본청 당대표 회의실,False,False
2017/01/08,12:00,기자단 오찬,여의도 김명자 굴국밥(영등포구 국회대로70길 15-1 극동브이아이피빌딩 지하1층),False,False
2017/01/09,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/09,18:40,세월호 희생자 분향소 참배,안산 세월호 합동 분향소(경기도 미술관,False,False
2017/01/09,19:30,세월호 참사 1000일 추모음악회,안산문화예술의전당 해돋이극장(안산시 단원구 화랑로 312),False,False
2017/01/10,14:00,당헌당규강령정책위원회 제1차 회의,국회 당대표 회의실,False,False
2017/01/11,9:00 ,최고위원회의,국회 당대표 회의실,False,False
2017/01/12,11:00,중소기업인 신년인사회,중소기업중앙회 그랜드홀 B1(서울 영등포구 은행로 30),False,False
2017/01/12,14:00,2017년 참좋은지방정부위원회 출범식 및 ‘분권과 혁신. 새로운 대한민국’ 정책토론회,의원회관 제2세미나실,False,False
2017/01/12,16:30,2018평창올림픽 성공개최를 위한 민주당 강원도당-강원도 확대 당정협의,춘천 베어스호텔 소양홀(강원 춘천시 스포츠타운길 376),False,False
2017/01/13,08:50,한전KPS 고압송전탑 관리 노동자 직고용 축하 꽃 달기,국회 당대표 회의실,False,False
2017/01/13,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/13,16:30,정원스님 조문,서울대학교병원 장례식장(서울시 종로구 대학로 101),False,False
2017/01/16,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/16,10:30,세월호 인양 대국민 설명회,국회의원회관 제2소회의실,False,False
2017/01/18,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/19,13:00,정유년 한국불교지도자 신년하례법회,조계사 대웅전,False,False
2017/01/20,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/20,10:00,새로운 대한민국. ‘자치분권내각중심’ 국정운영 토론회,의원회관 제1소회의실,False,False
2017/01/20,11:00,의원총회,본청 246호,False,False
2017/01/20,14:00,본회의,본회의장,False,False
2017/01/23,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/24,10:00,'정경유착 근절방안 - 공익법인 정상화 방안 모색' 토론회,의원회관 제8간담회의실,False,False
2017/01/24,11:00,여성위원회 초청 여성단체 대표 신년인사회,국회 귀빈식당,False,False
2017/01/24,15:30,설 민심 탐방 -영등포중앙시장 방문,영등포 중앙시장(영등포구 영등포로 225),False,False
2017/01/25,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/01/25,14:00,설 민심 탐방 - 중소기업 방문,인성 엔프라(인천 서구 가정로 58번길 24),False,False
2017/01/26,10:00,귀향인사,서울역,False,False
2017/01/26,11:00,남대문경찰서 방문,남대문경찰서,False,False
2017/01/30,1:00 ,최고위 간담회,국회 당대표 회의실,False,False
2017/02/01,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/01,10:30,인재영입위원회 제1차 회의,국회 당대표 회의실,False,False
2017/02/01,14:00,2월 임시국회 개회식 및 본회의,국회 본회의장,False,False
2017/02/02,10:00,더불어민주당 교섭단체연설,국회 본회의장,False,False
2017/02/03,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/03,10:00,새누리당 교섭단체연설,국회 본회의장,False,False
2017/02/03,11:10,바른정당 정병국 대표 예방,국회 당대표실,False,False
2017/02/06,09:00,최고위원회의,국회 당대표회의실,False,False
2017/02/06,10:00,국민의당 교섭단체연설,국회 본회의장,False,False
2017/02/06,14:00,최순실 일가의 부정축재 재산 몰수를 위한 특별공청회,의원회관 제2세미나실,False,False
2017/02/07,10:00,바른정당 교섭단체대표연설,본회의장,False,False
2017/02/07,15:00,외교안보통일자문회의 제2차 회의,국회 당대표회의실,False,False
2017/02/08,09:00,최고위원·탄핵소추위원 연석회의,국회 당대표 회의실,False,False
2017/02/08,15:00,야3당 대표 회동,귀빈식당 1호실,False,False
2017/02/09,10:00,의원총회,국회 본청 246호,False,False
2017/02/09,11:30,개인택시운송사업조합연합회 정책간담회,전국개인택시회관(강남구 역삼로17길 55),False,False
2017/02/09,14:00,대정부질문,국회 본청 본회의장,False,False
2017/02/10,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/10,12:00,국가경제자문회의 사전회의,여의도 외백(영등포구 국회대로 72길 17),False,False
2017/02/10,14:00,대정부질문,국회 본회의장,False,False
2017/02/10,14:20,2017년 대선과 민주당의 진로-꿈보따리 정책연구원 정책토론회,의원회관 제2세미나실,False,False
2017/02/11,17:00,15차 범국민 행동의 날,서울 광화문 북단광장,False,False
2017/02/12,14:00,더불어민주당 서울시당 제9차 신입당원 아카데미,의원회관 2층 대회의실,False,False
2017/02/13,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/14,11:30,한국노총 신임지도부 간담회,한국노총 7층 위원장실,False,False
2017/02/14,14:00,민생·외교·안보 현안 점검회의,국회 당대표 회의실,False,False
2017/02/15,08:50,선거인단 모집 선언식,국회 당대표 회의실,False,False
2017/02/15,09:05,최고위원회의,국회 당대표 회의실,False,False
2017/02/15,11:00,대한노인회 정기총회,백범김구기념관 컨벤션홀,False,False
2017/02/16,09:00,의원총회,국회 본청 246호,False,False
2017/02/17,09:00,최고위원-탄핵소추위원 연석회의,국회 당대표 회의실,False,False
2017/02/17,10:30,국가경제자문회의 제1차 회의,국회 당대표 회의실,False,False
2017/02/18,18:00,16차 촛불집회,광화문 광장,False,False
